mode,cyc,S,A0,A1,X,a31o_X,sticky_Q
I1_@5,48,0,1,0,1,1,1
I1_@5,49,0,1,0,1,1,1
I1_@5,50,0,1,0,1,1,1
I1_@5,51,0,1,0,1,1,1
I1_@5,52,0,1,0,1,1,1
I1_@5,53,0,1,0,1,1,1
I1_@5,54,0,1,0,1,1,1
I1_@5,55,0,1,0,1,1,1
I1_@5,56,0,1,0,1,1,1
I1_@5,57,0,1,0,1,1,1
I1_@5,58,0,1,0,1,1,1
I1_@5,59,0,1,0,1,1,1
I1_@5,60,0,1,0,1,1,1
I1_@5,61,0,1,0,1,1,1
I1_@5,62,0,1,0,1,1,1
I1_@5,63,0,1,0,1,1,1
I1_@5,64,0,1,0,1,1,1
I1_@5,65,0,1,0,1,1,1
I1_@5,66,0,1,0,1,1,1
I1_@5,67,0,1,0,1,1,1
I1_@5,68,0,1,0,1,1,1
I1_@5,69,0,1,0,1,1,1
I1_@5,70,0,1,0,1,1,1
I1_@5,71,0,1,0,1,1,1
I1_@5,72,0,1,0,1,1,1
I1_@5,73,0,1,0,1,1,1
I1_@5,74,0,1,0,1,1,1
I1_@5,75,0,1,0,1,1,1
I1_@5,76,0,1,0,1,1,1
I1_@5,77,0,1,0,1,1,1
I1_@5,78,0,1,0,1,1,1
I1_@5,79,0,1,0,1,1,1
I1_@5,80,0,1,0,1,1,1
I1_@5,81,0,1,0,1,1,1
I1_@5,82,0,1,0,1,1,1
I1_@5,83,0,1,0,1,1,1
I1_@5,84,0,1,0,1,1,1
I1_@5,85,0,1,0,1,1,1
I1_@5,86,0,1,0,1,1,1
I1_@5,87,0,1,0,1,1,1
I1_@5,88,0,1,0,1,1,1
I1_@5,89,0,1,0,1,1,1
I1_@5,90,0,1,0,1,1,1
I1_@5,91,0,1,0,1,1,1
I1_@5,92,0,1,0,1,1,1
I1_@5,93,0,1,0,1,1,1
I1_@5,94,0,1,0,1,1,1
I1_@5,95,0,1,0,1,1,1
I1_@5,96,0,1,0,1,1,1
I1_@5,97,0,1,0,1,1,1
I1_@5,98,0,1,0,1,1,1
I1_@5,99,0,1,0,1,1,1
I1_@5,100,0,1,0,1,1,1
I1_@5,101,0,1,0,1,1,1
I1_@5,102,0,1,0,1,1,1
